location,occlusion_ratio,parameter,zero_one_loss
1,0.1497263487,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.154
2,0.1270523847,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.146
3,0.1034662497,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.099
4,0.0840500391,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.084
5,0.0694553036,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.066
6,0.0590304926,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.054
7,0.0572061506,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.053
8,0.0613760751,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.057
9,0.0693249935,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.067
10,0.0613760751,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.062
11,0.0572061506,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.057
12,0.0590304926,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.054
13,0.0694553036,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.063
14,0.0840500391,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.084
15,0.1034662497,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.102
16,0.1270523847,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.118
17,0.1497263487,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.145
18,0.1209278082,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.107
19,0.1003388064,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.089
20,0.066979411,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.058
21,0.0454782382,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.037
22,0.044305447,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.037
23,0.0271045087,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.021
24,0.0454782382,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.034
25,0.0474328903,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.037
26,0.1003388064,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.089
27,0.1209278082,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.102
28,0.007557988,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.005
29,0.0005212406,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.0008
30,0.0007818608,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.0006
31,0.0005212406,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.0002
32,0.0035183737,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.002
33,0.0024758926,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.001
34,0.0023455825,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.001
35,0.0024758926,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.001
36,0.0035183737,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.002
37,0.0307531926,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.026
38,0.0225436539,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.021
39,0.0178524889,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.017
40,0.0157675267,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.014
41,0.0157675267,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.014
42,0.0195465207,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.016
43,0.0157675267,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.013
44,0.0178524889,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.018
45,0.0225436539,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.021
46,0.0307531926,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.025
47,0.0195465207,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.015
48,0.0157675267,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.013
49,0.0132916341,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.014
50,0.0099035705,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.009
51,0.0079489184,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.006
52,0.0083398488,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.006
53,0.0079489184,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.007
54,0.0099035705,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.01
55,0.0132916341,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.011
56,0.0182434193,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.017
57,0.0183737295,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.018
58,0.016940318,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.016
59,0.0183737295,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.017
60,0.0156372166,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.014
61,0.0138128746,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.014
62,0.0117279124,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.011
63,0.012249153,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.012
64,0.0117279124,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.011
65,0.0138128746,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.012
66,0.0175918686,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.017
67,0.0172009382,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.015
68,0.0175918686,C:1.0 kernel: rbf gamma: auto coef0: 0 tol: 0.001 max_iter: -1,0.016
